"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP2B11",2.10958086835481e-17,1.05438284020817,0.711,0.497,5.14336911513587e-13,"7","ATP2B1"
"PLEKHO2",2.24867694360815e-17,1.07412090207495,0.349,0.136,5.48249925621103e-13,"7","PLEKHO2"
"HLA-C2",2.53511096438655e-17,0.419864041414215,1,0.924,6.18085404227086e-13,"7","HLA-C"
"IFNGR11",2.60576919934383e-17,0.866388670979307,0.766,0.529,6.35312588492018e-13,"7","IFNGR1"
"RPS212",2.76377931890969e-17,0.378222688053102,0.977,0.898,6.73837035743372e-13,"7","RPS21"
"RNASEK1",3.027201765421e-17,0.437862711447789,0.977,0.918,7.38062062427294e-13,"7","RNASEK"
"RPS82",3.28758689312589e-17,0.374051388279531,0.991,0.97,8.01546560413022e-13,"7","RPS8"
"AC103591.3",3.370553108828e-17,1.37169289064223,0.261,0.085,8.21774553463354e-13,"7","AC103591.3"
"H3F3A",3.48255445539037e-17,0.444681732529209,0.991,0.949,8.49081601768725e-13,"7","H3F3A"
"TXNIP1",3.78412499267859e-17,0.731126666549901,0.573,0.294,9.22607514464967e-13,"7","TXNIP"
"C21",3.86671006709943e-17,1.63065969425511,0.413,0.195,9.42742581459513e-13,"7","C2"
"SOCS31",4.06703301605729e-17,0.799845878690241,0.922,0.724,9.91583319644928e-13,"7","SOCS3"
"TGFBR2",4.18002547406227e-17,1.5819077760742,0.307,0.115,1.01913201083112e-12,"7","TGFBR2"
"ATF52",5.02811894665664e-17,1.0252556181092,0.495,0.25,1.22590568038436e-12,"7","ATF5"
"AL021155.5",5.39682591032488e-17,1.17150393484472,0.344,0.134,1.31580012519631e-12,"7","AL021155.5"
"AKR1A1",6.56778646470888e-17,0.787317346414438,0.757,0.534,1.60129201796067e-12,"7","AKR1A1"
"MALT11",6.59653480607765e-17,1.27167402518337,0.436,0.205,1.60830115106979e-12,"7","MALT1"
"ATP6V0C3",7.36518267547814e-17,0.460398838234327,0.982,0.894,1.79570518810833e-12,"7","ATP6V0C"
"SERF22",9.16472633040952e-17,0.413638259463613,0.986,0.946,2.23445192661714e-12,"7","SERF2"
"MT-CYB1",1.41860755774555e-16,0.482136831903584,0.977,0.948,3.45870708653943e-12,"7","MT-CYB"
